Question,Answer
"1. What is the Maharashtra Land Revenue Code, 1966 also known as?","The Maharashtra Land Revenue Code, 1966 is also known as 1966 : Mah. XLI."
"2. What does Section 273 of the Maharashtra Land Revenue Code, 1966 cover?","Section 273 of the Maharashtra Land Revenue Code, 1966 covers the fees in respect of a warrant for attachment and sale of a defaulter’s property, including additional fees."
3. How can appeals be made before the Maharashtra Revenue Tribunal according to Section 274?,"Appeals before the Maharashtra Revenue Tribunal can be made by following the procedure outlined in Section 274 of the Maharashtra Land Revenue Code, 1966. The specific details of this procedure are not provided in the context provided. It would be advisable to refer to the full text of Section 274 in the Maharashtra Land Revenue Code, 1966 for the detailed process of making appeals before the Maharashtra Revenue Tribunal."
4. What is the procedure for the survey of lands in Bombay City as mentioned in Sections 277-291?,"The procedure for the survey of lands in Bombay City as mentioned in Sections 277-291 of the Maharashtra Land Revenue Code, 1966 includes the following steps:

1. Recognition of Bombay City Survey.
2. Order for survey and appointment of Superintendent by the State Government.
3. Entry of Collector or subordinates onto lands.
4. Serving notice to the holder to attend.
5. Proceeding with the survey by the Superintendent after the notice is served.
6. Preparation of survey map and register.
7. Erection of boundary marks by the Superintendent.
8. Maintenance of temporary boundary marks.
9. Charging of survey fees.
10. Sending all documents connected with the survey to the Collector.
11. Maintenance of survey map and register.
12. Revision of maps.
13. Responsibility for maintenance and repair of boundary marks.
14. Requirement by the Collector for superior holders to renew or repair survey marks.
15. Renewal or repair of survey marks by the Collector or assistants in case of default.

These are the key steps involved in the survey of lands in Bombay City as outlined in Sections 277-291 of the Maharashtra Land Revenue Code, 1966."
5. What rights does the Government have over lands and foreshore according to Sections 294-295?,"According to Sections 294-295 of the Maharashtra Land Revenue Code, 1966, the Government has the right to lands and foreshore. These lands and foreshore can be disposed of by the Government as per the provisions outlined in the code."
"6. What is the requirement for giving notice of transfer of title to lands, etc., as per Section 296?","The requirement for giving notice of transfer of title to lands, etc., as per Section 296 is that the notice of transfer must be given to the Collector."
7. How are dues levied and collected as revenue demands according to Section 303?,"Section 303 of the Maharashtra Land Revenue Code, 1966 states that dues are levied and collected as revenue demands. However, the specific details of how dues are levied and collected are not provided in the excerpt you have provided. For a detailed understanding of the process, it would be best to refer to the complete text of Section 303 within the Maharashtra Land Revenue Code, 1966."
8. What is the power of the Collector of Bombay in assisting other Collectors in the realization of dues as per Section 304?,"Section 304 of the Maharashtra Land Revenue Code, 1966 states that the Collector of Bombay has the power to assist other Collectors in the realization of dues. This means that the Collector of Bombay can provide support and aid to other Collectors in the process of collecting outstanding revenue or dues within their respective jurisdictions."
9. What is the importance of keeping registers and rent rolls by the Collector as mentioned in Section 305?,"The importance of keeping registers and rent rolls by the Collector, as mentioned in Section 305 of the Maharashtra Land Revenue Code, 1966, is to maintain accurate records of land ownership, revenue collection, and tenancy details. These registers and rent rolls help in ensuring transparency, accountability, and efficient management of revenue-related matters concerning land within the jurisdiction of the Collector."
10. How are disputes regarding entry or transfer of lands handled according to Section 300?,"Disputes regarding entry or transfer of lands are handled according to Section 300 by initiating proceedings in case of disputes. The specific details of the procedure for handling such disputes are outlined in this section of the Maharashtra Land Revenue Code, 1966."
1. What is the Maharashtra Land Revenue Code of 1966 also known as?,The Maharashtra Land Revenue Code of 1966 is also known as Maharashtra Act No. XLI of 1966.
2. What is the purpose of the Maharashtra Revenue Tribunal as mentioned in the text?,"The purpose of the Maharashtra Revenue Tribunal, as mentioned in the text, is to provide a forum for addressing matters related to land revenue and to have jurisdiction over certain cases specified in the Maharashtra Land Revenue Code, 1966. The tribunal has powers similar to a civil court and plays a role in the administration of land revenue laws in Maharashtra."
3. Who are the President and Members of the Maharashtra Revenue Tribunal as per the code?,"The President and Members of the Maharashtra Revenue Tribunal are not specifically mentioned in the provided sections of the Maharashtra Land Revenue Code, 1966. The specific names or positions of the President and Members would likely be determined by the appointments made by the relevant authorities in accordance with the provisions of the code."
4. What is the jurisdiction of the Tribunal as stated in the code?,"The jurisdiction of the Tribunal as stated in the Maharashtra Land Revenue Code, 1966 includes matters related to land revenue and other specified cases. The Tribunal has the power to hear appeals and decide on issues within its jurisdiction as outlined in the code."
5. How are orders passed by the Tribunal executed according to the code?,"Orders passed by the Tribunal are executed according to the Maharashtra Land Revenue Code, 1966 by following the manner specified in Section 323 of the code."
6. What provisions are made for court-fees in the Maharashtra Land Revenue Code?,Provisions for court-fees in the Maharashtra Land Revenue Code are outlined in Section 324 of the code.
7. What is the significance of Schedule A to Schedule K in the code?,"Schedule A to Schedule K in the Maharashtra Land Revenue Code, 1966, likely contain specific details, classifications, or provisions related to various aspects of land revenue, administration, or related matters. These schedules could outline different categories, rates, or rules pertaining to land revenue, land records, or other relevant topics within the code. The significance lies in providing a structured framework or reference points for implementing and understanding the regulations outlined in the code."
8. How are maps and land records regulated in the code?,"Maps and land records are regulated in the Maharashtra Land Revenue Code, 1966 under Section 327, which states that maps and land records are open to inspection, etc. Additionally, Section 328 provides rules regarding the regulation of maps and land records."
9. What provisions are made for the delegation of powers and duties in the code?,"The Maharashtra Land Revenue Code, 1966, includes a provision for the delegation of powers and duties under section 330A."
10. How are difficulties in the implementation of the code addressed according to the text?,"Difficulties in the implementation of the code are addressed through the provision of ""Power to remove difficulty"" as mentioned in Section 335 of the Maharashtra Land Revenue Code, 1966."
"1. When did the Maharashtra Land Revenue Code, 1966 receive the assent of the President?","The Maharashtra Land Revenue Code, 1966 received the assent of the President on the 22nd day of December 1966."
"2. How many times has the Maharashtra Land Revenue Code, 1966 been amended?","The Maharashtra Land Revenue Code, 1966 has been amended multiple times. Some of the amendments include Mah. 30 of 1968, Mah. 41 of 1973, Mah. 35 of 1974, Mah. 11 of 1976, Mah. 18 of 1976, Mah. 35 of 1976, Mah. 12 of 1977, Mah. 30 of 1977, Mah. 8 of 1979, Mah. 47 of 1981, Mah. 5 of 1982, Mah. 32 of 1986, Mah. 1 of 1991, Mah. 17 of 1993, Mah. 26 of 1994, Mah. 6 of 1998, Mah. 23 of 1999, and Mah. 9 of 2002."
3. What was the purpose of Maharashtra Act No. XLI of 1966?,"The purpose of Maharashtra Act No. XLI of 1966, also known as the Maharashtra Land Revenue Code, 1966, was to establish regulations and guidelines related to land revenue in the state of Maharashtra. It aimed to provide a legal framework for the assessment and collection of land revenue, as well as to define the rights and responsibilities of landowners and tenants in the state."
"4. What is the significance of the Maharashtra Land Revenue Code, 1966 in relation to the City of Bombay?","The Maharashtra Land Revenue Code, 1966 is significant in relation to the City of Bombay because it deems the City of Bombay to be constituted as a district, excludes the Bombay Suburban District from the Konkan Division, and establishes a new Division called the Bombay Division under the said Code. This Division consists of the district of the City of Bombay and the Bombay Suburban District."
"5. How can the boundaries of the Bombay Division be altered according to the Maharashtra Land Revenue Code, 1966?","According to the Maharashtra Land Revenue Code, 1966, the boundaries of the Bombay Division can be altered by the State Government through a notification in the Official Gazette."
"6. Where can one find the Statement of Objects and Reasons for the Maharashtra Land Revenue Code, 1966?","The Statement of Objects and Reasons for the Maharashtra Land Revenue Code, 1966 can be found in the Maharashtra Government Gazette, 1965 Part V, Extra pages 756-763."
"7. What is the importance of the date of commencement of an Act in relation to the Maharashtra Land Revenue Code, 1966?","The date of commencement of an Act is important because it signifies when the provisions of the Act come into effect and start being enforced. In the context of the Maharashtra Land Revenue Code, 1966, the date of commencement indicates when the regulations and rules outlined in the code become applicable and binding."
"8. How was the Bombay Suburban District affected by the Maharashtra Land Revenue Code, 1966?","The Bombay Suburban District was deemed to be excluded from the Konkan Division and included in the newly constituted Bombay Division under the Maharashtra Land Revenue Code, 1966."
"9. What is the process for constituting a new Division under the Maharashtra Land Revenue Code, 1966?","The process for constituting a new Division under the Maharashtra Land Revenue Code, 1966 involves the State Government specifying the areas and names of the new Division through a notification in the Official Gazette. This process is outlined in Section 2 of the Maharashtra Act No. XLI of 1966."
"10. How has the Maharashtra Land Revenue Code, 1966 evolved over time with various amendments?","The Maharashtra Land Revenue Code, 1966 has evolved over time with various amendments. Some of the key amendments include Mah. 30 of 1968, Mah. 41 of 1973, Mah. 35 of 1974, Mah. 11 of 1976, Mah. 18 of 1976, Mah. 35 of 1976, Mah. 12 of 1977, Mah. 30 of 1977, Mah. 8 of 1979, Mah. 47 of 1981, Mah. 5 of 1982, Mah. 32 of 1986, Mah. 1 of 1991, Mah. 17 of 1993, Mah. 26 of 1994, Mah. 6 of 1998, Mah. 23 of 1999, and Mah. 9 of 2002. These amendments have shaped and updated the original code over the years."
"1. What does Section 10 of the Maharashtra Land Revenue Code, 1966 state regarding the powers of Additional Tahsildars?","Section 10 of the Maharashtra Land Revenue Code, 1966 states that the Additional Tahsildars who exercised powers of the Collector under specific provisions of the Code delegated to them by the Collector during certain periods before the commencement of the Act shall be deemed to have been validly delegated. Any proceedings, orders, sanctions, certificates, declarations, or actions taken by these Additional Tahsildars during those periods shall be deemed valid and effective, and cannot be questioned in any Court or Tribunal solely on the grounds of lack of delegation or jurisdiction."
"2. According to Section 7 of Mah. 1 of 1991, under what circumstances can the Collector initiate proceedings for restoration of land to tribal transferors?","According to Section 7 of Mah. 1 of 1991, the Collector can initiate proceedings for restoration of land to tribal transferors if the Collector had not initiated suo motu proceedings or if a tribal transferor had not made any application during the specified period for restoration of land under the provisions mentioned in the section."
3. What does Section 26 of Mah. 17 of 1993 address regarding the determination and levy of non-agricultural assessment?,"Section 26 of Mah. 17 of 1993 addresses the determination and levy of non-agricultural assessment at the standard rate during the first guaranteed period commencing on the first day of August 1979 and ending on the 31st July 1991 under sub-section (2 A) of section 113 of the Maharashtra Land Revenue Code 1966. It states that such determination and levy shall be deemed to have been validly determined and levied in accordance with the law, as if the relevant sub-section had been continuously in force at all material times. It also specifies that this determination and levy cannot be questioned in any court or before any authority merely on the ground that the relevant sub-section was not in existence."
4. Which Maharashtra Ordinances were repealed by Mah. 26 of 1994 and Mah. 9 of 2002 respectively?,Maharashtra Ordinance No. II of 1994 was repealed by Mah. 26 of 1994. Maharashtra Ordinance No. XXIX of 2001 was repealed by Mah. 9 of 2002.
5. How does Section 10 of Mah. 5 of 1982 validate the delegation of powers of the Collector to Additional Tahsildars?,"Section 10 of Mah. 5 of 1982 validates the delegation of powers of the Collector to Additional Tahsildars by deeming that any proceedings conducted, orders passed, sanctions given, certificates issued, declarations made, or other actions taken by the Additional Tahsildars during the specified periods are considered valid and effective. This validation is done regardless of whether the powers were duly delegated to them or if they had jurisdiction, and it states that such actions cannot be questioned in any proceedings before any Court or Tribunal."
1. What is the title of the government act mentioned in the text?,"The title of the government act mentioned in the text is the Maharashtra Land Revenue Code, 1966."
2. In which year was the Maharashtra Land Revenue Code enacted?,The Maharashtra Land Revenue Code was enacted in 1966.
3. What is the purpose of the Maharashtra Land Revenue Code?,The purpose of the Maharashtra Land Revenue Code is to unify and amend the law relating to land and land revenue in the State of Maharashtra.
4. Which chapters of the Code do not apply to the City of Bombay?,"Chapters III (except the provisions relating to encroachment on land), IV, V, VI, VII, VIII, IX, X, XI, XII (except section 242) and XVI (except sections 327, 329, 330, 330A, 335, 336, and 333) do not apply to the City of Bombay."
"5. What is the definition of ""agricultural year"" according to the Code?","According to the Maharashtra Land Revenue Code, 1966, the definition of ""agricultural year"" is the year commencing on such date as the State Government may, by notification in the Official Gazette, appoint."
"6. What does the term ""alienated"" mean in the context of land revenue?","In the context of land revenue, the term ""alienated"" means the transfer of rights of the State Government to payment of rent or land revenue, either wholly or partially, to the ownership of any person."
"7. How is a ""building site"" defined in the Maharashtra Land Revenue Code?","A ""building site"" is defined in the Maharashtra Land Revenue Code as a portion of land held for building purposes, whether any building is actually erected thereupon or not, and includes the open ground or courtyard enclosed by, or appurtenant to, any building erected thereupon."
8. When did the Maharashtra Land Revenue Code come into force in the State of Maharashtra?,The Maharashtra Land Revenue Code came into force in the State of Maharashtra on such date as the State Government may have appointed by notification in the Official Gazette.
9. What are some of the amendments made to the Maharashtra Land Revenue Code over the years?,"Some of the amendments made to the Maharashtra Land Revenue Code over the years include:

1. Amended by Mah. 25 of 2002 (1-5-2002)
2. Amended by Mah. 21 of 2003 (1-8-2003)
3. Amended by Mah. 26 of 2005 (6-3-2004)
4. Amended by Mah. 43 of 2005 (25-3-2005)
5. Amended by Mah. 17 of 2007 (1-8-2007)
6. Amended by Mah. 23 of 2007 (13-12-2007)
7. Amended by Mah. 24 of 2007 (1-8-2008)
8. Amended by Mah. 10 of 2009 (24-2-2009)"
10. How can different dates be appointed for the enforcement of different provisions of the Code?,"Different dates can be appointed for the enforcement of different provisions of the Maharashtra Land Revenue Code, 1966 by the State Government through a notification in the Official Gazette. This allows for flexibility in implementing various sections of the code at different times as needed."
