Question,Answer
1. What is the title of the government act mentioned in the text?,"The title of the government act mentioned in the text is the Maharashtra Land Revenue Code, 1966."
2. In which year was the Maharashtra Land Revenue Code enacted?,The Maharashtra Land Revenue Code was enacted in 1966.
3. What is the purpose of the Maharashtra Land Revenue Code?,The purpose of the Maharashtra Land Revenue Code is to unify and amend the law relating to land and land revenue in the State of Maharashtra.
4. Which chapters of the Code do not apply to the City of Bombay?,"Chapters III (except the provisions relating to encroachment on land), IV, V, VI, VII, VIII, IX, X, XI, XII (except section 242) and XVI (except sections 327, 329, 330, 330A, 335, 336, and 333) do not apply to the City of Bombay."
"5. What is the definition of ""agricultural year"" according to the Code?","According to the Maharashtra Land Revenue Code, 1966, the definition of ""agricultural year"" is the year commencing on such date as the State Government may, by notification in the Official Gazette, appoint."
"6. What does the term ""alienated"" mean in the context of land revenue?","In the context of land revenue, the term ""alienated"" means the transfer of rights of the State Government to payment of rent or land revenue, either wholly or partially, to the ownership of any person."
"7. How is a ""building site"" defined in the Maharashtra Land Revenue Code?","A ""building site"" is defined in the Maharashtra Land Revenue Code as a portion of land held for building purposes, whether any building is actually erected thereupon or not, and includes the open ground or courtyard enclosed by, or appurtenant to, any building erected thereupon."
8. When did the Maharashtra Land Revenue Code come into force in the State of Maharashtra?,The Maharashtra Land Revenue Code came into force in the State of Maharashtra on such date as the State Government may have appointed by notification in the Official Gazette.
9. What are some of the amendments made to the Maharashtra Land Revenue Code over the years?,"Some of the amendments made to the Maharashtra Land Revenue Code over the years include:

1. Amended by Mah. 25 of 2002 (1-5-2002)
2. Amended by Mah. 21 of 2003 (1-8-2003)
3. Amended by Mah. 26 of 2005 (6-3-2004)
4. Amended by Mah. 43 of 2005 (25-3-2005)
5. Amended by Mah. 17 of 2007 (1-8-2007)
6. Amended by Mah. 23 of 2007 (13-12-2007)
7. Amended by Mah. 24 of 2007 (1-8-2008)
8. Amended by Mah. 10 of 2009 (24-2-2009)"
10. How can different dates be appointed for the enforcement of different provisions of the Code?,"Different dates can be appointed for the enforcement of different provisions of the Maharashtra Land Revenue Code, 1966 by the State Government through a notification in the Official Gazette. This allows for flexibility in implementing various sections of the code at different times as needed."
